Period,Feature,Horizon,Rank_IC
2024H2,ADX_14,5d,0.012774897914397383
2024H2,ADX_14,10d,0.01630879606226061
2024H2,ADX_14,20d,0.024274138500502324
2024H2,ADX_14,60d,0.032030565490297445
2024H2,rank_ret_5d,5d,-0.014020602088936846
2024H2,rank_ret_5d,10d,0.0015390387623343965
2024H2,rank_ret_5d,20d,0.006658390385446807
2024H2,rank_ret_5d,60d,0.015003311109325122
2024H2,rank_ret_10d,5d,-0.004542978420264347
2024H2,rank_ret_10d,10d,0.002944210019402362
2024H2,rank_ret_10d,20d,0.0076280065847267285
2024H2,rank_ret_10d,60d,0.021864745616199898
2024H2,rank_ret_20d,5d,-0.0010013919124694057
2024H2,rank_ret_20d,10d,0.005458763191054625
2024H2,rank_ret_20d,20d,0.01706594325563663
2024H2,rank_ret_20d,60d,0.032477269789287735
2024H2,rank_ret_60d,5d,0.013644599422648765
2024H2,rank_ret_60d,10d,0.024190234161737913
2024H2,rank_ret_60d,20d,0.03500429027093662
2024H2,rank_ret_60d,60d,0.025078117757050822
2024H2,rank_price_ma20_ratio,5d,-0.006652191866665706
2024H2,rank_price_ma20_ratio,10d,0.0048553649829793455
2024H2,rank_price_ma20_ratio,20d,0.011642495696462763
2024H2,rank_price_ma20_ratio,60d,0.02935608508926901
2024H2,rank_price_ma60_ratio,5d,0.00095217053430611
2024H2,rank_price_ma60_ratio,10d,0.013596925455967657
2024H2,rank_price_ma60_ratio,20d,0.025206766504732143
2024H2,rank_price_ma60_ratio,60d,0.03785639390413809
2024H2,rank_price_ma120_ratio,5d,0.003299689747437689
2024H2,rank_price_ma120_ratio,10d,0.009851004497836002
2024H2,rank_price_ma120_ratio,20d,0.013360927634227467
2024H2,rank_price_ma120_ratio,60d,0.02136620220388045
2024H2,rank_atr_20,5d,0.003749802224478168
2024H2,rank_atr_20,10d,0.016895025414106122
2024H2,rank_atr_20,20d,0.023792595739985635
2024H2,rank_atr_20,60d,0.015583464236887805
2024H2,rank_atr_60,5d,-0.002846729240968906
2024H2,rank_atr_60,10d,0.00359874156016196
2024H2,rank_atr_60,20d,0.003995837807631501
2024H2,rank_atr_60,60d,0.002273739245342607
2024H2,rank_rolling_std_20,5d,-0.0013726263570821658
2024H2,rank_rolling_std_20,10d,0.013529556357066047
2024H2,rank_rolling_std_20,20d,0.0217182190491421
2024H2,rank_rolling_std_20,60d,0.010598682999251745
2024H2,rank_rolling_std_60,5d,-0.0009698159340250361
2024H2,rank_rolling_std_60,10d,0.009500162653140694
2024H2,rank_rolling_std_60,20d,0.01454921038259698
2024H2,rank_rolling_std_60,60d,0.010305015075127585
2024H2,rank_volume_zscore_20,5d,0.006375994925802202
2024H2,rank_volume_zscore_20,10d,0.010064619904694812
2024H2,rank_volume_zscore_20,20d,0.01757241722062977
2024H2,rank_volume_zscore_20,60d,0.007494342746637299
2024H2,rank_volume_zscore_60,5d,0.012272096892933073
2024H2,rank_volume_zscore_60,10d,0.01852538248992522
2024H2,rank_volume_zscore_60,20d,0.026364842932312803
2024H2,rank_volume_zscore_60,60d,0.007068008477066081
2024H2,rank_dollar_volume_log,5d,0.004573387446215877
2024H2,rank_dollar_volume_log,10d,0.005378733176055235
2024H2,rank_dollar_volume_log,20d,0.0107496140172606
2024H2,rank_dollar_volume_log,60d,-0.014032296528670558
2024H2,rank_volume_ma60_ratio,5d,0.010436542728023378
2024H2,rank_volume_ma60_ratio,10d,0.02017029607305529
2024H2,rank_volume_ma60_ratio,20d,0.02969572706923139
2024H2,rank_volume_ma60_ratio,60d,0.00629610881256114
2024H2,rank_RSI_14,5d,0.006460259448670436
2024H2,rank_RSI_14,10d,0.024501699607906244
2024H2,rank_RSI_14,20d,0.028395951109594014
2024H2,rank_RSI_14,60d,0.041894229928012824
2024H2,rank_MACD_norm,5d,0.0034970086558734482
2024H2,rank_MACD_norm,10d,0.012052848103303258
2024H2,rank_MACD_norm,20d,0.0237095126580655
2024H2,rank_MACD_norm,60d,0.03666148275533373
2024H2,rank_MACDh_norm,5d,-0.010829012764341683
2024H2,rank_MACDh_norm,10d,-0.003915805546405228
2024H2,rank_MACDh_norm,20d,0.003310009888017122
2024H2,rank_MACDh_norm,60d,0.014864898391420566
2024H2,rank_BB_pct_b,5d,-0.004260032887929411
2024H2,rank_BB_pct_b,10d,0.006718123677908642
2024H2,rank_BB_pct_b,20d,0.008549581964301948
2024H2,rank_BB_pct_b,60d,0.019474662164367836
2024H2,rank_ADX_14,5d,0.012774897914397383
2024H2,rank_ADX_14,10d,0.01630879606226061
2024H2,rank_ADX_14,20d,0.024274138500502324
2024H2,rank_ADX_14,60d,0.032030565490297445
2025H1,ret_5d,5d,-0.014055905798662007
2025H1,ret_5d,10d,0.0035967260166919514
2025H1,ret_5d,20d,0.009231708765203817
2025H1,ret_5d,60d,0.01201663006880396
2025H1,ret_10d,5d,-0.0038956254855749568
2025H1,ret_10d,10d,0.006339304591108384
2025H1,ret_10d,20d,0.011323121115992929
2025H1,ret_10d,60d,0.017085053432879513
2025H1,ret_20d,5d,0.0005643576674358963
2025H1,ret_20d,10d,0.007628290731269636
2025H1,ret_20d,20d,0.017336454675510482
2025H1,ret_20d,60d,0.02253971600058558
2025H1,ret_60d,5d,0.013024943978052738
2025H1,ret_60d,10d,0.022053150677159277
2025H1,ret_60d,20d,0.027483757146007558
2025H1,ret_60d,60d,0.005622837066315339
2025H1,price_ma20_ratio,5d,-0.00476976856171615
2025H1,price_ma20_ratio,10d,0.008942449972945929
2025H1,price_ma20_ratio,20d,0.016008527144933178
2025H1,price_ma20_ratio,60d,0.023248133509003083
2025H1,price_ma60_ratio,5d,0.0023494898045345624
2025H1,price_ma60_ratio,10d,0.014627029665406889
2025H1,price_ma60_ratio,20d,0.02373531923074747
2025H1,price_ma60_ratio,60d,0.01998243302591131
2025H1,price_ma120_ratio,5d,0.0012552757099907178
2025H1,price_ma120_ratio,10d,0.006671264355185408
2025H1,price_ma120_ratio,20d,0.006222101590640514
2025H1,price_ma120_ratio,60d,0.00034501537110235273
2025H1,atr_20,5d,0.002886101328858827
2025H1,atr_20,10d,0.013161943944268454
2025H1,atr_20,20d,0.019118107742851147
2025H1,atr_20,60d,0.001940565070999846
2025H1,atr_60,5d,-0.0035539068900288994
2025H1,atr_60,10d,0.0016284025245088788
2025H1,atr_60,20d,0.0017481778034119809
2025H1,atr_60,60d,-0.01002863416776461
2025H1,rolling_std_20,5d,-0.0007128581516954328
2025H1,rolling_std_20,10d,0.010862838049103716
2025H1,rolling_std_20,20d,0.019793719995250147
2025H1,rolling_std_20,60d,-0.0009548235983018495
2025H1,rolling_std_60,5d,0.00015190594649252848
2025H1,rolling_std_60,10d,0.009477196169494918
2025H1,rolling_std_60,20d,0.014241462959507381
2025H1,rolling_std_60,60d,-0.006841048162787299
2025H1,volume_zscore_20,5d,0.006863234599027341
2025H1,volume_zscore_20,10d,0.011011129482304812
2025H1,volume_zscore_20,20d,0.01769948034176436
2025H1,volume_zscore_20,60d,0.007758629776021075
2025H1,volume_zscore_60,5d,0.011731370774752984
2025H1,volume_zscore_60,10d,0.017387605045138095
2025H1,volume_zscore_60,20d,0.02595090671597482
2025H1,volume_zscore_60,60d,0.009071468306250904
2025H1,dollar_volume_log,5d,0.0063465115803482295
2025H1,dollar_volume_log,10d,0.007899852872305888
2025H1,dollar_volume_log,20d,0.012313152575345489
2025H1,dollar_volume_log,60d,-0.00955388520041926
2025H1,volume_ma60_ratio,5d,0.010378891275672045
2025H1,volume_ma60_ratio,10d,0.019294564812911953
2025H1,volume_ma60_ratio,20d,0.029324745693326076
2025H1,volume_ma60_ratio,60d,0.010439761209844573
2025H1,RSI_14,5d,0.008347960305373948
2025H1,RSI_14,10d,0.026698400846489032
2025H1,RSI_14,20d,0.031404321249441605
2025H1,RSI_14,60d,0.03126488069096765
2025H1,MACD_norm,5d,0.0051678726794810535
2025H1,MACD_norm,10d,0.013155608620279126
2025H1,MACD_norm,20d,0.0216173302346096
2025H1,MACD_norm,60d,0.020315385741472725
2025H1,MACDh_norm,5d,-0.009443402599411663
2025H1,MACDh_norm,10d,0.0001230622668719776
2025H1,MACDh_norm,20d,0.01059978399407396
2025H1,MACDh_norm,60d,0.020024359537403016
2025H1,BB_pct_b,5d,-0.002876443214656972
2025H1,BB_pct_b,10d,0.008560031876210685
2025H1,BB_pct_b,20d,0.012821478453126136
2025H1,BB_pct_b,60d,0.017729995608256475
2025H1,ADX_14,5d,0.01885051748650425
2025H1,ADX_14,10d,0.025098983830851566
2025H1,ADX_14,20d,0.03363483689290743
2025H1,ADX_14,60d,0.021338603425559943
2025H1,rank_ret_5d,5d,-0.014055905798662007
2025H1,rank_ret_5d,10d,0.0035967260166919514
2025H1,rank_ret_5d,20d,0.009231708765203817
2025H1,rank_ret_5d,60d,0.01201663006880396
2025H1,rank_ret_10d,5d,-0.0038956254855749568
2025H1,rank_ret_10d,10d,0.006339304591108384
2025H1,rank_ret_10d,20d,0.011323121115992929
2025H1,rank_ret_10d,60d,0.017085053432879513
2025H1,rank_ret_20d,5d,0.0005643576674358963
2025H1,rank_ret_20d,10d,0.007628290731269636
2025H1,rank_ret_20d,20d,0.017336454675510482
2025H1,rank_ret_20d,60d,0.02253971600058558
2025H1,rank_ret_60d,5d,0.013024943978052738
2025H1,rank_ret_60d,10d,0.022053150677159277
2025H1,rank_ret_60d,20d,0.027483757146007558
2025H1,rank_ret_60d,60d,0.005622837066315339
2025H1,rank_price_ma20_ratio,5d,-0.00476976856171615
2025H1,rank_price_ma20_ratio,10d,0.008942449972945929
2025H1,rank_price_ma20_ratio,20d,0.016008527144933178
2025H1,rank_price_ma20_ratio,60d,0.023248133509003083
2025H1,rank_price_ma60_ratio,5d,0.0023494898045345624
2025H1,rank_price_ma60_ratio,10d,0.014627029665406889
2025H1,rank_price_ma60_ratio,20d,0.02373531923074747
2025H1,rank_price_ma60_ratio,60d,0.01998243302591131
2025H1,rank_price_ma120_ratio,5d,0.0012552757099907178
2025H1,rank_price_ma120_ratio,10d,0.006671264355185408
2025H1,rank_price_ma120_ratio,20d,0.006222101590640514
2025H1,rank_price_ma120_ratio,60d,0.00034501537110235273
2025H1,rank_atr_20,5d,0.002886101328858827
2025H1,rank_atr_20,10d,0.013161943944268454
2025H1,rank_atr_20,20d,0.019118107742851147
2025H1,rank_atr_20,60d,0.001940565070999846
2025H1,rank_atr_60,5d,-0.0035539068900288994
2025H1,rank_atr_60,10d,0.0016284025245088788
2025H1,rank_atr_60,20d,0.0017481778034119809
2025H1,rank_atr_60,60d,-0.01002863416776461
2025H1,rank_rolling_std_20,5d,-0.0007128581516954328
2025H1,rank_rolling_std_20,10d,0.010862838049103716
2025H1,rank_rolling_std_20,20d,0.019793719995250147
2025H1,rank_rolling_std_20,60d,-0.0009548235983018495
2025H1,rank_rolling_std_60,5d,0.00015190594649252848
2025H1,rank_rolling_std_60,10d,0.009477196169494918
2025H1,rank_rolling_std_60,20d,0.014241462959507381
2025H1,rank_rolling_std_60,60d,-0.006841048162787299
2025H1,rank_volume_zscore_20,5d,0.006863234599027341
2025H1,rank_volume_zscore_20,10d,0.011011129482304812
2025H1,rank_volume_zscore_20,20d,0.01769948034176436
2025H1,rank_volume_zscore_20,60d,0.007758629776021075
2025H1,rank_volume_zscore_60,5d,0.011731370774752984
2025H1,rank_volume_zscore_60,10d,0.017387605045138095
2025H1,rank_volume_zscore_60,20d,0.02595090671597482
2025H1,rank_volume_zscore_60,60d,0.009071468306250904
2025H1,rank_dollar_volume_log,5d,0.0063465115803482295
2025H1,rank_dollar_volume_log,10d,0.007899852872305888
2025H1,rank_dollar_volume_log,20d,0.012313152575345489
2025H1,rank_dollar_volume_log,60d,-0.00955388520041926
2025H1,rank_volume_ma60_ratio,5d,0.010378891275672045
2025H1,rank_volume_ma60_ratio,10d,0.019294564812911953
2025H1,rank_volume_ma60_ratio,20d,0.029324745693326076
2025H1,rank_volume_ma60_ratio,60d,0.010439761209844573
2025H1,rank_RSI_14,5d,0.008347960305373948
2025H1,rank_RSI_14,10d,0.026698400846489032
2025H1,rank_RSI_14,20d,0.031404321249441605
2025H1,rank_RSI_14,60d,0.03126488069096765
2025H1,rank_MACD_norm,5d,0.0051678726794810535
2025H1,rank_MACD_norm,10d,0.013155608620279126
2025H1,rank_MACD_norm,20d,0.0216173302346096
2025H1,rank_MACD_norm,60d,0.020315385741472725
2025H1,rank_MACDh_norm,5d,-0.009443402599411663
2025H1,rank_MACDh_norm,10d,0.0001230622668719776
2025H1,rank_MACDh_norm,20d,0.01059978399407396
2025H1,rank_MACDh_norm,60d,0.020024359537403016
2025H1,rank_BB_pct_b,5d,-0.002876443214656972
2025H1,rank_BB_pct_b,10d,0.008560031876210685
2025H1,rank_BB_pct_b,20d,0.012821478453126136
2025H1,rank_BB_pct_b,60d,0.017729995608256475
2025H1,rank_ADX_14,5d,0.01885051748650425
2025H1,rank_ADX_14,10d,0.025098983830851566
2025H1,rank_ADX_14,20d,0.03363483689290743
2025H1,rank_ADX_14,60d,0.021338603425559943
2025H2,ret_5d,5d,-0.009494136189823027
2025H2,ret_5d,10d,0.008001142933616213
2025H2,ret_5d,20d,0.014411416587610613
2025H2,ret_5d,60d,0.022506895669235364
2025H2,ret_10d,5d,0.00036665681718881036
2025H2,ret_10d,10d,0.011911888482444392
2025H2,ret_10d,20d,0.017571686947823163
2025H2,ret_10d,60d,0.031542725321335854
2025H2,ret_20d,5d,0.005362752905045166
2025H2,ret_20d,10d,0.013575703921051743
2025H2,ret_20d,20d,0.023994738684322597
2025H2,ret_20d,60d,0.038887256466236794
2025H2,ret_60d,5d,0.021575550846480867
2025H2,ret_60d,10d,0.034096456214621894
2025H2,ret_60d,20d,0.04383152349527148
2025H2,ret_60d,60d,0.020850039336120053
2025H2,price_ma20_ratio,5d,7.999968121186241e-05
2025H2,price_ma20_ratio,10d,0.014646634542292541
2025H2,price_ma20_ratio,20d,0.022359571084491194
2025H2,price_ma20_ratio,60d,0.038361511054660895
2025H2,price_ma60_ratio,5d,0.008882789319528068
2025H2,price_ma60_ratio,10d,0.0231800527804233
2025H2,price_ma60_ratio,20d,0.03705352544711407
2025H2,price_ma60_ratio,60d,0.03866872246603251
2025H2,price_ma120_ratio,5d,0.01020934141044283
2025H2,price_ma120_ratio,10d,0.01831377441851575
2025H2,price_ma120_ratio,20d,0.023209684743819986
2025H2,price_ma120_ratio,60d,0.01846901925100239
