date,cash_weight,portfolio_value,weight_2330.TW,weight_2317.TW,weight_2454.TW,weight_6488.TWO,weight_3661.TW,weight_3037.TW,weight_3324.TWO,weight_3034.TW,weight_2345.TW,weight_2408.TW,weight_3653.TW,weight_2308.TW,weight_6669.TW,weight_5483.TWO,weight_2303.TW,weight_6213.TW,weight_2379.TW,weight_6415.TW,weight_3711.TW,weight_3443.TW,weight_8299.TWO,weight_2382.TW,weight_3665.TW,weight_8046.TW,weight_6274.TWO,weight_3189.TW,weight_5347.TWO,weight_3231.TW,weight_5269.TW,weight_3017.TW,weight_2368.TW,weight_8016.TW,weight_2357.TW,weight_2421.TW,weight_3131.TWO,weight_2324.TW,weight_2376.TW,weight_6285.TW,weight_2356.TW,weight_3529.TWO,weight_3583.TW,weight_6409.TW,weight_3380.TW,weight_8996.TW,weight_6187.TWO
2025-03-06,0.6189084744997011,0.8948576343799163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08748292686799507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16072230732047313,0.0,0.0,0.13288629131183075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-07,0.5053684298817913,0.906902199073168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08748292686799507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16072230732047313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24642633592974056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-10,0.7113578558334478,0.9070879751486831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08748292686799507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0766969410917099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12446227620684727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-11,0.7695355589021919,0.8950480989857338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08748292686799507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14298151422981298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-12,0.7695355589021919,0.9021334479416355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08748292686799507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14298151422981298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13,0.7695355589021919,0.9037422825545293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08748292686799507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14298151422981298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-14,0.7695355589021919,0.913547750812823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08748292686799507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14298151422981298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-17,0.7695355589021919,0.910172881202798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08748292686799507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14298151422981298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-18,0.7695355589021919,0.9083462926046509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08748292686799507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14298151422981298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-19,0.7695355589021919,0.909633158699896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08748292686799507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14298151422981298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,0.7695355589021919,0.9182410811518023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08748292686799507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14298151422981298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-21,0.7695355589021919,0.9133228109516378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08748292686799507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14298151422981298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24,0.7695355589021919,0.9051983052298677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08748292686799507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14298151422981298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-25,0.9125170731320049,0.9031288756051864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08748292686799507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-26,1.0,0.9033458560067478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
